,m_construction_number,m_wetbrk_test_number,m_wetbrk_test_type,m_wetbrk_test_name,m_wetbrk_test_step_number,m_wetbrk_test_session_number,m_wet_brake_test_start_date,m_wet_brake_test_end_date,m_wet_brake_test_location,m_wet_brake_control_reference_flag,c_wet_brake_vehicle_manufacturer,c_wet_brake_driver_name,c_wet_brake_ambient_temp_0c,c_wet_brake_surface_temp_0c,c_wet_brake_humidity_level_pc,c_wet_brake_surface_type,c_wet_brake_surface_condition,c_wet_brake_surface_status,c_wet_brake_weather_condition,c_wet_brake_tire_inflation_cold_kpa,c_wet_brake_tire_inflation_hot_kpa,c_wet_brake_vehicle_load_kg,c_wet_brake_rim_description,c_wet_brake_wind_speed_range,c_wet_brake_vehicle_speed_max_kmh,c_wet_brake_vehicle_speed_min_kmh,c_wet_brake_test_procedure,c_wet_brake_tire_class_ec_code,r_wetbrk_avg_braking_distance_m,r_wet_brake_braking_evolution_pc,r_wet_brake_standard_deviation_braking_distance_m,r_wet_brake_avg_deceleration_g,r_wet_brake_variation_coefficient_braking_pc,c_wet_brake_wind_speed_min,c_wet_brake_wind_speed_max
0,19K25203,2020R00206-00,BRK,ACCBRK,2,1,2/8/2020,2/8/2020,GPG*M SKID PAD,,BMW X5 (G05),Corentin,8.1,0.0,0.994,LO MU ASPH,,WET,Cloudy,220.0,,Empty,VEHI,min: 7.4 max: 10.9,80,1,ABS,,33.27571429,,0.433007203,-0.756530809,0.013012709,7.4,10.9
1,19K25203,2020R00206-00,BRK,ACCBRK,2,1,2/8/2020,2/8/2020,GPG*M SKID PAD,,BMW X5 (G05),Corentin,8.1,0.0,0.994,LO MU ASPH,,WET,Cloudy,220.0,,Driver,VEHI,min: 7.4 max: 10.9,80,1,ABS,,33.27571429,,0.433007203,-0.756530809,0.013012709,7.4,10.9
2,19K25203,2020R00206-00,BRK,ACCBRK,2,2,2/8/2020,2/8/2020,GIC*L SKID PAD,,BMW X5 (G05),Corentin,0.3,0.3,0.924,HI MU ASPH,,WET,Coudy,220.0,,D,VEHI,min: 1.7 max: 4.3,80,1,ABS,,23.46571429,,0.300325221,-1.072803612,0.012798469,1.7,4.3
3,19K25203,2020R00206-00,BRK,ACCBRK,2,2,2/8/2020,2/8/2020,GIC*L SKID PAD,,BMW X5 (G05),Corentin,0.3,0.3,0.924,HI MU ASPH,,WET,Coudy,,,,VEHI,min: 1.7 max: 4.3,80,1,ABS,,23.46571429,,0.300325221,-1.072803612,0.012798469,1.7,4.3
4,19X4050E,2020R05382-01,BRK,ACCBRK,1,1,11/16/2020,11/16/2020,GIC*L SKID PAD,R,Ford Ranger PC6192,Thirion R.,8.9,9.0,0.871,LO MU ASPH,,WET,Light rain,,,1135,8J17ET55,min: 6.9 max: 10.8,80,1,ABS,,58.65714286,,0.46194207,-0.4291737,0.007875291,6.9,10.8
5,19X4050E,2020R05382-01,BRK,ACCBRK,4,1,11/16/2020,11/16/2020,GIC*L SKID PAD,R,Ford Ranger PC6192,Thirion R.,9.5,10.3,0.918,LO MU ASPH,,WET,Light rain,,,1135,8J17ET55,min: 6.9 max: 10.8,80,1,ABS,,58.25,0.006941058,0.454202598,-0.432173443,0.007797469,6.9,10.8
6,19X5043A,2020R02288-03,BRK,ACCBRK,3,1,8/7/2020,8/7/2020,GIC*L SKID PAD,C,FORD EXPLORER,Balon R,32.0,34.1,0.297,LO MU ASPH,,WET,Sunny,230.0,,1254,8J20 et40,min: 3.9 max: 12.3,80,1,ABS,,43.772,,0.192795228,-0.575118867,0.004404533,3.9,12.3
7,20K20601,2020R03115-00,BRK,ACCBRK,2,1,8/4/2020,8/4/2020,GPG*M SKID PAD,,AUDI A7 (C7) 3.0TDI QUATTRO,Di Tucci M,24.6,0.0,0.303,LO MU ASPH,,WET,sunny,260.0,,vehi,9J20ET33,min: 7.2 max: 21.9,80,1,ABS,,33.658,,0.496407091,-1.168719143,0.014748562,7.2,21.9
8,20K20605,2020R04770-00,BRK,ACCBRK,2,1,10/8/2020,10/8/2020,GPG*M SKID PAD,,AUDI A7 (C7) 3.0TDI QUATTRO,deluc j,16.8,17.9,0.776,LO MU ASPH,,WET,Sunny,260.0,,Empty,9J20ET37,min: 3.5 max: 6.8,80,1,ABS,,34.326,,0.311977563,-1.145975322,0.009088666,3.5,6.8
9,AH531600,2020R01410-00,BRK,ACCBRK,1,1,4/28/2020,4/28/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,11.4,14.5,0.819,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,33.19285714,,0.104994331,-0.758419287,0.00316316,1.8,4.9
10,AH531600,2020R01410-00,BRK,ACCBRK,1,2,4/29/2020,4/29/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,10.5,12.9,0.887,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,28.044,,0.247547975,-0.897664493,0.008827128,3.6,18.1
11,AH531600,2020R01410-00,BRK,ACCBRK,4,1,4/28/2020,4/28/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,11.8,14.9,0.844,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,34.08714286,-0.026942156,0.452095649,-0.738521945,0.013262938,1.8,4.9
12,AH531600,2020R01410-00,BRK,ACCBRK,4,2,4/29/2020,4/29/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,10.7,14.1,0.853,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,28.56428571,-0.01855244,0.207433294,-0.881313935,0.007261981,3.6,18.1
13,AH531600,2020R01410-00,BRK,ACCBRK,7,1,4/28/2020,4/28/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,12.2,15.7,0.945,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,34.55428571,-0.013704405,0.283481754,-0.728537792,0.008203954,1.8,4.9
14,AH531600,2020R01410-00,BRK,ACCBRK,7,2,4/29/2020,4/29/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,11.1,14.4,0.82,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,28.63714286,-0.002550629,0.257015842,-0.879071741,0.008974912,3.6,18.1
15,AH531600,2020R01410-00,BRK,ACCBRK,9,1,4/28/2020,4/28/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,12.3,16.1,0.942,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,34.39428571,0.004630391,0.186802672,-0.731926903,0.005431212,1.8,4.9
16,AH531600,2020R01410-00,BRK,ACCBRK,9,2,4/29/2020,4/29/2020,GIC*L SKID PAD,C,VW GOLF VII 1.4 TSI,Corentin,11.2,14.5,0.801,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,28.24857143,0.01356877,0.223265804,-0.891163757,0.007903614,3.6,18.1
17,AH531700,2020R01410-00,BRK,ACCBRK,2,1,4/28/2020,4/28/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,11.9,15.1,0.789,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,31.86,,0.204939015,-0.790147616,0.006432486,1.8,4.9
18,AH531700,2020R01410-00,BRK,ACCBRK,2,2,4/29/2020,4/29/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,10.5,13.5,0.882,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,26.57875,,0.198021463,-0.947151504,0.007450368,3.6,18.1
19,AH531800,2020R01410-00,BRK,ACCBRK,3,1,4/28/2020,4/28/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,12.0,15.0,0.782,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,31.83285714,,0.161008725,-0.790821349,0.005057941,1.8,4.9
20,AH531800,2020R01410-00,BRK,ACCBRK,3,2,4/29/2020,4/29/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,10.5,14.0,0.858,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,26.85,,0.228327251,-0.937582981,0.008503808,3.6,18.1
21,AH531900,2020R01410-00,BRK,ACCBRK,5,1,4/28/2020,4/28/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,11.3,14.9,0.911,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,32.96714286,,0.275663701,-0.763611913,0.008361771,1.8,4.9
22,AH531900,2020R01410-00,BRK,ACCBRK,5,2,4/29/2020,4/29/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,10.7,14.2,0.844,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,26.82285714,,0.16388149,-0.938531749,0.00610977,3.6,18.1
23,AH532000,2020R01410-00,BRK,ACCBRK,6,1,4/28/2020,4/28/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,11.9,15.4,0.943,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,32.56571429,,0.190862703,-0.773024747,0.005860848,1.8,4.9
24,AH532000,2020R01410-00,BRK,ACCBRK,6,2,4/29/2020,4/29/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,10.9,14.4,0.818,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,27.86375,,0.33376371,-0.903471465,0.01197842,3.6,18.1
25,AH532100,2020R01410-00,BRK,ACCBRK,8,1,4/28/2020,4/28/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,12.4,16.3,0.945,LO MU ASPH,,WET,Cloudy and rainy,230.0,,Empty,VEHI,min: 1.8 max: 4.9,80,1,ABS,,32.90714286,,0.233074687,-0.765004216,0.007082799,1.8,4.9
26,AH532100,2020R01410-00,BRK,ACCBRK,8,2,4/29/2020,4/29/2020,GIC*L SKID PAD,,VW GOLF VII 1.4 TSI,Corentin,10.8,14.4,0.808,HI MU ASPH,,WET,Cloudy,230.0,,Empty,VEHI,min: 3.6 max: 18.1,80,1,ABS,,27.86428571,,0.169887918,-0.903454095,0.006096977,3.6,18.1
27,AU706010,2019R06965-01,BRK,ACCBRK,1,1,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,2.5,5.2,0.863,LO MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 15.6 max: 18.5,60,20,ABS,,25.532,,0.393864049,-0.49306825,0.01542629,15.6,18.5
28,AU706010,2019R06965-01,BRK,ACCBRK,1,2,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,3.0,1.0,0.836,CONCRETE,,WET,rainy,630.0,,5800,9.0x22.5,min: 3.9 max: 13.8,50,20,ABS,,14.91571429,,0.104858181,-0.55388185,0.007030048,3.9,13.8
29,AU706010,2019R06965-01,BRK,ACCBRK,1,3,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,3.5,4.7,0.933,HI MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 5.4 max: 10.7,60,20,ABS,,20.18428571,,0.264503128,-0.623703941,0.013104409,5.4,10.7
30,AU706010,2019R06965-01,BRK,ACCBRK,3,1,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,3.0,6.8,0.826,LO MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 15.6 max: 18.5,60,20,ABS,,25.9,-0.014413287,0.258972328,-0.486062492,0.009998932,15.6,18.5
31,AU706010,2019R06965-01,BRK,ACCBRK,3,2,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,3.5,1.4,0.918,CONCRETE,,WET,rainy,630.0,,5800,9.0x22.5,min: 3.9 max: 13.8,50,20,ABS,,15.232,-0.02120489,0.073959448,-0.542380739,0.004855531,3.9,13.8
32,AU706010,2019R06965-01,BRK,ACCBRK,3,3,2/13/2020,2/13/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Woitkewitz A,4.3,4.8,0.947,HI MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 5.4 max: 10.7,60,20,ABS,,20.675,-0.024311641,0.20374003,-0.608900534,0.009854415,5.4,10.7
33,AU706110,2019R06965-01,BRK,ACCBRK,2,1,2/13/2020,2/13/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,2.9,5.9,0.835,LO MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 15.6 max: 18.5,60,20,ABS,,25.458,,0.371208237,-0.494501475,0.014581202,15.6,18.5
34,AU706110,2019R06965-01,BRK,ACCBRK,2,2,2/13/2020,2/13/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,3.6,1.3,0.868,CONCRETE,,WET,rainy,630.0,,5800,9.0x22.5,min: 3.9 max: 13.8,50,20,ABS,,15.16857143,,0.202437527,-0.544648747,0.013345853,3.9,13.8
35,AU706110,2019R06965-01,BRK,ACCBRK,2,3,2/13/2020,2/13/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,3.9,4.7,0.948,HI MU ASPH,,WET,rainy,630.0,,5800,9.0x22.5,min: 5.4 max: 10.7,60,20,ABS,,20.47142857,,0.215903418,-0.614955547,0.010546573,5.4,10.7
36,AU707010,2019R06960-01,BRK,ACCBRK,1,1,1/14/2020,1/14/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Gross M,6.8,4.8,0.773,LO MU ASPH,,WET,cloudy,653.0,,5800,9x22.5,min: 6.8 max: 12.6,60,20,ABS,,26.57285714,,0.189623687,-0.473754797,0.007135992,6.8,12.6
37,AU707010,2019R06960-01,BRK,ACCBRK,1,2,1/14/2020,1/14/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Leroy J.,7.9,6.3,0.688,HI MU ASPH,,WET,cloudy,653.0,,5800,VEHI,min: 11.3 max: 17.7,60,20,ABS,,21.89285714,,0.241848044,-0.57502858,0.011046893,11.3,17.7
38,AU707010,2019R06960-01,BRK,ACCBRK,1,3,1/14/2020,1/14/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Leroy J.,7.9,3.5,0.713,CONCRETE,,WET,rainny,653.0,,5800,VEHI,min: 10.5 max: 16.5,60,20,ABS,,27.732,,0.220159033,-0.453952782,0.007938808,10.5,16.5
39,AU707010,2019R06960-01,BRK,ACCBRK,3,1,1/14/2020,1/14/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Gross M,7.4,5.1,0.724,LO MU ASPH,,WET,cloudy,653.0,,5800,9x22.5,min: 6.8 max: 12.6,60,20,ABS,,26.51857143,0.002042876,0.419341888,-0.474724613,0.01581314,6.8,12.6
40,AU707010,2019R06960-01,BRK,ACCBRK,3,2,1/14/2020,1/14/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Leroy J.,7.8,6.5,0.707,HI MU ASPH,,WET,rainny,653.0,,5800,VEHI,min: 11.3 max: 17.7,60,20,ABS,,22.38,-0.022251211,0.237907545,-0.562512,0.010630364,11.3,17.7
41,AU707010,2019R06960-01,BRK,ACCBRK,3,3,1/14/2020,1/14/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Leroy J.,9.2,3.9,0.625,CONCRETE,,WET,cloudy,653.0,,5800,VEHI,min: 10.5 max: 16.5,60,20,ABS,,27.18857143,0.019595717,0.182795749,-0.463026113,0.006723257,10.5,16.5
42,AU707110,2019R06960-01,BRK,ACCBRK,2,1,1/14/2020,1/14/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Gross M,7.0,4.9,0.768,LO MU ASPH,,WET,cloudy,653.0,,5800,9x22.5,min: 6.8 max: 12.6,60,20,ABS,,26.21571429,,0.314688054,-0.480208871,0.012003795,6.8,12.6
43,AU707110,2019R06960-01,BRK,ACCBRK,2,2,1/14/2020,1/14/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Leroy J.,8.3,6.4,0.654,HI MU ASPH,,WET,cloudy,653.0,,5800,VEHI,min: 11.3 max: 17.7,60,20,ABS,,21.28142857,,0.173438613,-0.591549506,0.008149764,11.3,17.7
44,AU707110,2019R06960-01,BRK,ACCBRK,2,3,1/14/2020,1/14/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Leroy J.,9.0,3.8,0.659,CONCRETE,,WET,cloudy,653.0,,5800,VEHI,min: 10.5 max: 16.5,60,20,ABS,,27.04,,0.194679223,-0.465570213,0.007199675,10.5,16.5
45,AU710000,2020R00135-00,BRK,ACCBRK,3,1,1/28/2020,1/28/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,1.7,6.2,0.96,LO MU ASPH,,WET,cloudy,660.0,,5800,8.25x22.5,min: 8.0 max: 14.3,60,20,ABS,,27.139,,0.395767889,-0.463871865,0.014582995,8.0,14.3
46,AU710000,2020R00135-00,BRK,ACCBRK,3,1,1/28/2020,1/28/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,1.7,6.2,0.96,LO MU ASPH,,WET,cloudy,660.0,,588,8.25x22.5,min: 8.0 max: 14.3,60,20,ABS,,27.139,,0.395767889,-0.463871865,0.014582995,8.0,14.3
47,AU710000,2020R00135-00,BRK,ACCBRK,3,2,1/29/2020,1/29/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,2.6,3.8,0.893,HI MU ASPH,,WET,cloudy / light rain,660.0,,5800,8.25x22.5,min: 6.5 max: 9.8,60,20,ABS,,20.573,,0.299631255,-0.611919436,0.014564296,6.5,9.8
48,AU710000,2020R00135-00,BRK,ACCBRK,3,3,1/29/2020,1/29/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,3.8,2.3,0.876,CONCRETE,,WET,cloudy / light rain,660.0,,5800,8.25x22.5,min: 7.3 max: 10.9,50,20,ABS,,15.7675,,0.235235444,-0.523960262,0.014919007,7.3,10.9
49,AU711000,2020R00131-00,BRK,ACCBRK,3,1,2/11/2020,2/11/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Leroy J.,5.3,7.4,0.742,LO MU ASPH,,WET,sunny/cloudy,660.0,,5800,VEHI,min: 5.0 max: 11.2,60,20,ABS,,29.42142857,,0.370604397,-0.42788604,0.012596411,5.0,11.2
50,AU711000,2020R00131-00,BRK,ACCBRK,3,2,2/12/2020,2/12/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,3.4,2.7,0.938,CONCRETE,,WET,cloudy / rainy,660.0,,5800,8.25x22.5,min: 2.5 max: 7.8,50,20,ABS,,14.87909091,,0.300747553,-0.555245174,0.020212764,2.5,7.8
51,AU711000,2020R00131-00,BRK,ACCBRK,4,3,2/17/2020,2/17/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,7.9,7.7,0.789,HI MU ASPH,,WET,cloudy,660.0,,5800,8.25x22.5,min: 8.7 max: 16.5,60,20,ABS,,19.702,,0.414589489,-0.638971604,0.021043015,8.7,16.5
52,AU711100,2020R00131-00,BRK,ACCBRK,5,1,2/11/2020,2/11/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Leroy J.,5.5,7.9,0.698,LO MU ASPH,,WET,sunny/cloudy,660.0,,5800,VEHI,min: 5.0 max: 11.2,60,20,ABS,,29.38166667,,0.16203909,-0.428465093,0.005514973,5.0,11.2
53,AU711100,2020R00131-00,BRK,ACCBRK,5,2,2/12/2020,2/12/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,2.2,2.4,0.957,CONCRETE,,WET,cloudy / rainy,660.0,,5800,8.25x22.5,min: 2.5 max: 7.8,50,20,ABS,,14.998,,0.236022598,-0.550843007,0.015736938,2.5,7.8
54,AU711100,2020R00131-00,BRK,ACCBRK,5,3,2/17/2020,2/17/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Woitkewitz A,8.6,7.9,0.787,HI MU ASPH,,WET,cloudy,660.0,,5800,8.25x22.5,min: 8.7 max: 16.5,60,20,ABS,,19.69375,,0.284099454,-0.639239279,0.014425869,8.7,16.5
55,AU712000,2020R02609-00,BRK,ACCBRK,1,1,7/24/2020,7/24/2020,GIC*L SKID PAD,R,MERCEDES ACTROS 1854,Gross M,17.2,19.8,0.643,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,27.8675,,0.401488303,-0.45174553,0.014407044,3.2,7.8
56,AU712000,2020R02609-00,BRK,ACCBRK,3,1,7/24/2020,7/24/2020,GIC*L SKID PAD,R,MERCEDES ACTROS 1854,Gross M,20.7,22.0,0.461,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,28.09444444,-0.008143679,0.428838872,-0.448096369,0.015264188,3.2,7.8
57,AU712000,2020R02609-00,BRK,ACCBRK,5,1,7/23/2020,7/23/2020,GIC*L SKID PAD,R,MERCEDES ACTROS 1854,Gross M,20.5,23.5,0.391,CONCRETE,,WET,sunny,900.0,,7500,9x22.5,min: 6.1 max: 8.9,60,20,ABS,,27.66714286,,0.289580978,-0.455016935,0.010466602,6.1,8.9
58,AU712000,2020R02609-00,BRK,ACCBRK,6,1,7/24/2020,7/24/2020,GIC*L SKID PAD,R,MERCEDES ACTROS 1854,Gross M,22.5,23.6,0.451,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,28.145,-0.001799508,0.371829454,-0.447291475,0.013211208,3.2,7.8
59,AU712100,2020R02609-00,BRK,ACCBRK,2,1,7/24/2020,7/24/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1854,Gross M,19.4,20.8,0.555,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,26.31285714,,0.277471577,-0.478436016,0.010545095,3.2,7.8
60,AU712200,2020R02609-00,BRK,ACCBRK,3,1,7/23/2020,7/23/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1854,Gross M,19.6,23.2,0.422,CONCRETE,,WET,sunny,900.0,,7500,9x22.5,min: 6.1 max: 8.9,60,20,ABS,,28.09444444,-0.008143679,0.428838872,-0.448096369,0.015264188,6.1,8.9
61,AU712200,2020R02609-00,BRK,ACCBRK,4,1,7/24/2020,7/24/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1854,Gross M,21.9,23.5,0.437,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,26.03875,,0.336513107,-0.483472461,0.012923551,3.2,7.8
62,AU712300,2020R02609-00,BRK,ACCBRK,4,1,7/23/2020,7/23/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1854,Gross M,19.9,23.3,0.419,CONCRETE,,WET,sunny,900.0,,7500,9x22.5,min: 6.1 max: 8.9,60,20,ABS,,26.03875,,0.336513107,-0.483472461,0.012923551,6.1,8.9
63,AU712300,2020R02609-00,BRK,ACCBRK,5,1,7/24/2020,7/24/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1854,Gross M,22.8,24.3,0.42,LO MU ASPH,,WET,cloudy,900.0,,7500,9x22.5,min: 3.2 max: 7.8,60,20,ABS,,27.66714286,,0.289580978,-0.455016935,0.010466602,3.2,7.8
64,AU714001,2020R05745-00,BRK,ACCBRK,1,1,11/18/2020,11/18/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Dondlinger A.,7.1,9.5,0.999,CONCRETE,,WET,Cloudy - Sunny,900.0,,7500,9 x 22.5,min: 4.1 max: 6.3,60,20,ABS,,28.2,,0.295916655,-0.446419098,0.010493498,4.1,6.3
65,AU714001,2020R05745-00,BRK,ACCBRK,4,1,11/18/2020,11/18/2020,GIC*L SKID PAD,C,MERCEDES ACTROS 1851 L,Dondlinger A.,9.6,10.9,0.878,CONCRETE,,WET,Cloudy - Sunny,900.0,,7500,9 x 22.5,min: 4.1 max: 6.3,60,20,ABS,,27.9075,0.010372392,0.390923814,-0.45109804,0.014007841,4.1,6.3
66,AU714100,2020R05745-00,BRK,ACCBRK,2,1,11/18/2020,11/18/2020,GIC*L SKID PAD,,MERCEDES ACTROS 1851 L,Dondlinger A.,7.4,9.7,0.999,CONCRETE,,WET,Cloudy - Sunny,900.0,,7500,9 x 22.5,min: 4.1 max: 6.3,60,20,ABS,,27.06636364,,0.583014112,-0.46511673,0.021540171,4.1,6.3
